time_sec,actual_r_ratio,estimated_r_ratio,nis_configured,nis_adapted
14.100000000000001,1.0,1.2827199077633265,0.014417698915616471,0.012131209327525972
14.200000000000001,1.0,1.2826029831023038,0.9100076253780092,0.7657405776868239
14.3,1.0,1.2808081915181095,0.20976169427191327,0.17668525049833825
14.4,1.0,1.28360688130545,3.0052731503346366,2.527412162820624
14.5,1.0,1.2782823574608604,0.027321609195314206,0.02304606668397053
14.600000000000001,1.0,1.2727804214834288,0.0007802436721115095,0.0006601863908153524
14.700000000000001,1.0,1.2670858157432132,0.059211578388096105,0.05026205676648971
14.8,1.0,1.2595906392465375,0.3061794368760003,0.26100909215490087
14.9,1.0,1.2508982719063164,0.6390294805285964,0.5474585452353353
15.0,1.0,1.2408579464020986,0.2639986534861469,0.2274728854514783
15.100000000000001,1.0,1.2328501621610282,1.127148794130155,0.9756892015907138
15.200000000000001,1.0,1.2222600123406424,0.15517867433922725,0.13515265397847614
15.3,1.0,1.214262199316812,1.540490005598085,1.3479472447785579
15.4,1.0,1.2074947503889872,0.5640925189949356,0.49554399994473963
15.5,1.0,1.2012385842042885,0.7753723622120671,0.683653988404038
15.600000000000001,1.0,1.1975106106185467,1.6236279697005391,1.4347138329010922
15.700000000000001,1.0,1.1702770600037666,0.6761237616531696,0.6071960555319291
15.8,1.0,1.1506134383683166,4.184346873549022,3.802537992498153
15.9,1.0,1.1301641553035988,0.2751719329695282,0.253200205704082
16.0,1.0,1.1114410396230734,0.4696597448730724,0.4371798905372258
16.1,1.0,1.0973386725735002,2.505846068347906,2.3531447444805433
16.2,1.0,1.0839501551719077,0.1871363138782962,0.17721799508708605
16.3,1.0,1.0712041175216334,0.0020482340719304563,0.0019554118230939413
16.400000000000002,1.0,1.0600754335343048,2.2385529742590173,2.152350706389538
16.5,1.0,1.0413680200163389,0.005096034542980101,0.0049592645722525905
16.6,1.0,1.0232409694543023,0.002727142299407948,0.0026855327102824783
16.7,1.0,1.0060183031395535,0.040627423117245154,0.040465069082378
